,path,label
0,Crop_1_0/fake/00b65767811c79377cf4065ae0d03eaaf1ce15586244d65f9426fa32_image_pose.jpeg,1
1,Crop_1_0/fake/015ccedaf6d48b1d56cdc2de97c06916c8048191c45d3d58f2aced05_image_pose.jpeg,1
2,Crop_1_0/fake/04bc2b1d5e3419ebe84f8115db48dcb928de5442696d31e6c6e81a1f_image_pose.jpeg,1
3,Crop_1_0/fake/059ba681e25f7691349a012bf48302df0f1b39d78f840ba415cc1474_image_pose.jpeg,1
4,Crop_1_0/fake/06ea0c83383e8984e632cacbcd27481efaad92595af57ff59546dd9a_image_pose.jpeg,1
5,Crop_1_0/fake/0824d3ead5726448aadf7d378562d675e75bd8b4b526c258b9a9b089_image_pose.jpeg,1
6,Crop_1_0/fake/0_0033fc49-67a1-4a6b-a699-ee7d2f259290_0.png,1
7,Crop_1_0/fake/0_0033fc49-67a1-4a6b-a699-ee7d2f259290_1.png,1
8,Crop_1_0/fake/0_00cf383d-e969-4c78-a34a-d9bc95481a3b_0.png,1
9,Crop_1_0/fake/0_00e13b15-01cd-4a03-9306-d1a9ff340c68_0.png,1
10,Crop_1_0/fake/0_00e13b15-01cd-4a03-9306-d1a9ff340c68_1.png,1
11,Crop_1_0/fake/0_00e13b15-01cd-4a03-9306-d1a9ff340c68_2.png,1
12,Crop_1_0/fake/0_01310bbb-8118-40d6-892d-62d33be2c86f_0.png,1
13,Crop_1_0/fake/0_01310bbb-8118-40d6-892d-62d33be2c86f_1.png,1
14,Crop_1_0/fake/0_01310bbb-8118-40d6-892d-62d33be2c86f_2.png,1
15,Crop_1_0/fake/0_0151cde1-69a7-46f3-a10f-a93b90c431c5_0.png,1
16,Crop_1_0/fake/0_0151cde1-69a7-46f3-a10f-a93b90c431c5_1.png,1
17,Crop_1_0/fake/0_0151cde1-69a7-46f3-a10f-a93b90c431c5_2.png,1
18,Crop_1_0/fake/0_01578899-61c8-446b-8366-fcdc084c8948_0.png,1
19,Crop_1_0/fake/0_01578899-61c8-446b-8366-fcdc084c8948_1.png,1
20,Crop_1_0/fake/0_01578899-61c8-446b-8366-fcdc084c8948_2.png,1
21,Crop_1_0/fake/0_016f69c4-ab20-4092-a54b-132e129b3c29_0.png,1
22,Crop_1_0/fake/0_016f69c4-ab20-4092-a54b-132e129b3c29_1.png,1
23,Crop_1_0/fake/0_016f69c4-ab20-4092-a54b-132e129b3c29_2.png,1
24,Crop_1_0/fake/0_017af556-54aa-4844-8164-7864084b64ca_0.png,1
25,Crop_1_0/fake/0_017af556-54aa-4844-8164-7864084b64ca_1.png,1
26,Crop_1_0/fake/0_017af556-54aa-4844-8164-7864084b64ca_2.png,1
27,Crop_1_0/fake/0_01837bcc-1beb-4269-8b0f-0ad7d15b8460_0.png,1
28,Crop_1_0/fake/0_01837bcc-1beb-4269-8b0f-0ad7d15b8460_1.png,1
29,Crop_1_0/fake/0_01837bcc-1beb-4269-8b0f-0ad7d15b8460_2.png,1
30,Crop_1_0/fake/0_0190223f-1e2a-4787-893e-b63f7aed4cc8_0.png,1
31,Crop_1_0/fake/0_0190223f-1e2a-4787-893e-b63f7aed4cc8_1.png,1
32,Crop_1_0/fake/0_0190223f-1e2a-4787-893e-b63f7aed4cc8_2.png,1
33,Crop_1_0/fake/0_01dc0d4d-b389-4c59-b1f7-556e8a5c9e32_0.png,1
34,Crop_1_0/fake/0_01dc0d4d-b389-4c59-b1f7-556e8a5c9e32_1.png,1
35,Crop_1_0/fake/0_01dc0d4d-b389-4c59-b1f7-556e8a5c9e32_2.png,1
36,Crop_1_0/fake/0_01f2cd80-dd03-4448-8580-5c3558b6b747_0.png,1
37,Crop_1_0/fake/0_01f2cd80-dd03-4448-8580-5c3558b6b747_1.png,1
38,Crop_1_0/fake/0_01f2cd80-dd03-4448-8580-5c3558b6b747_2.png,1
39,Crop_1_0/fake/0_0224d0db-6e2e-40b7-8d2d-0ef37839a1f1_0.png,1
40,Crop_1_0/fake/0_0224d0db-6e2e-40b7-8d2d-0ef37839a1f1_1.png,1
